product_id,product_name,brand,category,subcategory,gramm_g,list_price,standard_cost,currency,listed_from_date,compatible_device_brand,is_active
63,Citrus & Co Refill Liquid Mint 10,Citrus & Co,REFILL,Refill Small,10,8.5,2.85,USD,2015-04-20,,1
64,FreshNest Refill Liquid Citrus 10,FreshNest,REFILL,Refill Small,10,9.5,3.2,USD,2015-06-28,FreshNest,1
65,AromaDrive Scent Cartridge Holder,AromaDrive,SPARE_PART,Cartridge,,139.5,68.84,USD,2015-03-22,AromaDrive,1
66,FreshNest Refill Liquid Citrus 20,FreshNest,REFILL,Refill Small,20,15.0,5.27,USD,2015-06-04,FreshNest,1
67,BreezeLine Refill Liquid Jasmine 10,BreezeLine,REFILL,Refill Small,10,8.5,3.12,USD,2015-12-01,BreezeLine,1
68,Good Smell Refill Liquid Coffee 50,Good Smell,REFILL,Refill Small,50,29.0,10.32,USD,2015-10-11,,1
69,AromaDrive Diffuser Wick Set,AromaDrive,SPARE_PART,Wick,,100.5,52.46,USD,2015-03-10,AromaDrive,1
70,BreezeLine Car Diffuser Machine - Mini,BreezeLine,DEVICE,Car Diffuser,,575.5,324.2,USD,2015-03-21,BreezeLine,1
71,Good Smell Refill Liquid Ocean 50,Good Smell,REFILL,Refill Small,50,28.0,9.9,USD,2015-06-25,,1
72,Citrus & Co Refill Liquid Mint 20,Citrus & Co,REFILL,Refill Small,20,12.0,4.26,USD,2015-05-16,,1
73,Good Smell Refill Liquid Citrus 10,Good Smell,REFILL,Refill Small,10,8.0,2.73,USD,2015-01-27,,1
74,BreezeLine Refill Liquid Chocolate 100,BreezeLine,REFILL,Refill Small,100,54.0,18.76,USD,2015-05-22,BreezeLine,1
75,Good Smell Refill Liquid Vanilla 10,Good Smell,REFILL,Refill Small,10,7.5,2.58,USD,2015-03-08,,1
76,AromaWave Refill Liquid Jasmine 50,AromaWave,REFILL,Refill Small,50,31.0,10.59,USD,2015-08-15,,1
77,FreshNest Refill Liquid Jasmine 10,FreshNest,REFILL,Refill Small,10,9.5,3.3,USD,2015-01-05,FreshNest,1
78,FreshNest Refill Liquid Mint 20,FreshNest,REFILL,Refill Small,20,14.5,5.3,USD,2015-12-20,FreshNest,1
79,FreshNest Refill Liquid Vanilla 10,FreshNest,REFILL,Refill Small,10,10.0,3.52,USD,2015-07-09,FreshNest,1
80,Citrus & Co Refill Liquid Rose 50,Citrus & Co,REFILL,Refill Small,50,28.0,9.46,USD,2015-03-07,,1
81,AromaWave Refill Liquid Lavender 20,AromaWave,REFILL,Refill Small,20,13.0,4.49,USD,2015-01-21,,1
82,AromaWave Refill Liquid Ocean 50,AromaWave,REFILL,Refill Small,50,32.5,11.05,USD,2015-05-08,,1
83,Good Smell Refill Liquid Chocolate 20,Good Smell,REFILL,Refill Small,20,13.5,4.66,USD,2015-10-14,,1
84,Good Smell Refill Liquid Mint 50,Good Smell,REFILL,Refill Small,50,31.0,10.75,USD,2015-11-14,,1
85,FreshNest Car Diffuser Machine - Clip,FreshNest,DEVICE,Car Diffuser,,703.5,376.74,USD,2015-03-25,FreshNest,1
86,Citrus & Co Refill Liquid Chocolate 20,Citrus & Co,REFILL,Refill Small,20,13.5,4.87,USD,2015-07-31,,1
87,FreshNest Refill Liquid Lavender 30,FreshNest,REFILL,Refill Small,30,20.0,7.17,USD,2015-06-20,FreshNest,1
88,AromaDrive Adhesive Mount Pad,AromaDrive,ACCESSORY,Mount,,41.5,18.99,USD,2015-05-08,AromaDrive,1
89,FreshNest Refill Liquid Jasmine 100,FreshNest,REFILL,Refill Small,100,61.5,22.14,USD,2015-02-25,FreshNest,1
90,Good Smell Refill Liquid Rose 30,Good Smell,REFILL,Refill Small,30,18.0,6.01,USD,2015-08-29,,1
91,FreshNest Decor Sticker Pack,FreshNest,ACCESSORY,Decor,,66.5,29.81,USD,2015-06-06,FreshNest,1
92,AromaDrive Nozzle Holder,AromaDrive,SPARE_PART,Nozzle,,137.0,66.6,USD,2015-12-04,AromaDrive,1
93,AromaWave Refill Liquid Pine 30,AromaWave,REFILL,Refill Small,30,18.5,6.36,USD,2015-02-05,,1
94,AromaWave Refill Liquid Ocean 30,AromaWave,REFILL,Refill Small,30,21.0,7.19,USD,2015-11-25,,1
95,AromaWave Refill Liquid Vanilla 100,AromaWave,REFILL,Refill Small,100,58.0,20.66,USD,2015-10-02,,1
96,Good Smell Refill Liquid Vanilla 50,Good Smell,REFILL,Refill Small,50,28.0,9.34,USD,2015-05-14,,1
97,AromaDrive Diffuser Machine - Compact,AromaDrive,DEVICE,Home Diffuser,,630.0,338.37,USD,2015-02-25,AromaDrive,1
98,BreezeLine Travel Pouch,BreezeLine,ACCESSORY,Cover,,34.5,15.97,USD,2015-08-12,BreezeLine,1
